period,position,balance,profitloss,status
0,short,100,0,live
1,short,199.98739012808,0.0126098719196364,live
2,short,300.041842426594,-0.0418424265936324,live
3,short,400.039347976833,-0.0393479768326301,live
4,short,499.907424913841,0.092575086159286,live
5,short,599.98315485495,0.0168451450505245,live
6,short,700.036127675382,-0.0361276753817492,live
7,short,800.097224363988,-0.0972243639877206,live
8,short,900.044682832375,-0.0446828323745194,live
9,short,1000.30898492963,-0.308984929628195,live
10,short,1000.34302668735,-0.343026687350743,exited
